hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
Resort Hotel,0,4,2017,August,34,21,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250.0,,0,Transient,228.0,1,1,Check-Out,2017-08-22,Aimee Park,Park.Aimee@yahoo.com,103-558-8273,************5892
City Hotel,0,115,2016,December,52,18,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,88.4,0,2,Check-Out,2016-12-22,Eric Price,Price.Eric@xfinity.com,125-131-7976,************9182
City Hotel,1,210,2017,July,27,4,1,5,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,1,Canceled,2017-05-30,Frank Hall,Hall.Frank67@xfinity.com,208-264-4347,************4927
City Hotel,1,71,2017,January,3,15,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,88.4,0,3,Canceled,2016-11-08,Christine Rose,Christine_R@comcast.net,605-421-2610,************2558
City Hotel,0,141,2016,August,35,22,1,3,3,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,135.45,0,0,Check-Out,2016-08-26,Michelle Mcclain,MichelleMcclain@comcast.net,636-610-8976,************5162
Resort Hotel,0,0,2017,February,7,14,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient,68.0,0,0,Check-Out,2017-02-15,David Rodriguez,Rodriguez.David77@yandex.com,731-987-0226,************5408
City Hotel,0,3,2016,January,2,5,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,75.0,0,1,Check-Out,2016-01-06,Charlene Smith,CSmith@yahoo.com,382-748-6613,************3206
Resort Hotel,0,73,2016,May,19,3,0,0,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,I,0,No Deposit,240.0,,0,Transient,0.0,0,1,Check-Out,2016-05-03,Jordan Turner,Jordan_Turner@mail.com,451-775-6030,************2301
City Hotel,1,0,2016,September,40,29,0,1,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,89.0,,0,Transient,118.09,0,0,No-Show,2016-09-29,James Duarte,Duarte.James14@att.com,872-960-6751,************6207
City Hotel,0,25,2015,July,31,27,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-07-29,Ellen Bean,Ellen_B@yandex.com,200-821-7661,************4632
Resort Hotel,0,61,2016,October,42,9,1,0,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,G,0,No Deposit,251.0,,0,Transient,59.0,0,0,Check-Out,2016-10-10,Donald Schneider,DSchneider14@verizon.com,371-591-5812,************7540
